Scenario;Metrica;Media;Errore_HW
Nominale;RT_Edge;2.0377;0.0093
Nominale;RT_Cloud;3.9005;0.0123
Nominale;Util_Edge;0.7558;0.0006
Nominale;Util_Cloud;0.4478;0.0006
Nominale;Utenti_Edge;3.0844;0.0148
Nominale;Utenti_Cloud;0.8114;0.0023
+10% Carico;RT_Edge;2.9507;0.0185
+10% Carico;RT_Cloud;5.1229;0.0227
+10% Carico;Util_Edge;0.8312;0.0007
+10% Carico;Util_Cloud;0.493;0.0006
+10% Carico;Utenti_Edge;4.9095;0.0319
+10% Carico;Utenti_Cloud;0.9732;0.0024
+20% Carico;RT_Edge;5.3778;0.0604
+20% Carico;RT_Cloud;8.1844;0.0737
+20% Carico;Util_Edge;0.907;0.0007
+20% Carico;Util_Cloud;0.5379;0.0006
+20% Carico;Utenti_Edge;9.7612;0.1123
+20% Carico;Utenti_Cloud;1.1644;0.0038
+30% Carico;RT_Edge;27.7167;1.4805
+30% Carico;RT_Cloud;35.1571;1.7654
+30% Carico;Util_Edge;0.9817;0.0006
+30% Carico;Util_Cloud;0.5824;0.0007
+30% Carico;Utenti_Edge;54.5176;2.9241
+30% Carico;Utenti_Cloud;1.3952;0.0049
